param,Mean,Median,St.Dev.,95%CI_low,95%CI_upp
lam.est.sp[17],0.005321756300143358,0.004828383014686841,9.931456994060244e-4,0.004536443979056729,0.00760264916122078
lam.est.sp[18],0.005231399838578411,0.004952884574015892,8.765236218911401e-4,0.0045227333656496504,0.007740888515745995
lam.est.sp[19],0.005387479835267765,0.004908162693273506,9.303125006437609e-4,0.004617790354563305,0.007327337457561009
lam.est.sp[20],0.005186861805917979,0.004810232877434036,7.954632031601963e-4,0.0045604718037101175,0.007070699880950296
lam.est.sp[21],0.005356430237543945,0.004907844514451052,9.54177727643158e-4,0.004571849749998066,0.007368943467534127
lam.est.sp[22],0.005212005114836101,0.00466560451011338,0.0010422062805818513,0.004421140108936826,0.0075089081166481945
lam.est.sp[23],0.005159841361939242,0.004840576612527871,8.74982953175945e-4,0.0044118997775505625,0.00738752243737879
lam.est.sp[24],0.00531243423077332,0.004946424734248922,9.730015504699015e-4,0.0045536426417722995,0.0075679496680284754
lam.est.sp[25],0.005275825574453773,0.004800918539189361,0.0010451281831576997,0.0044842453241202545,0.007709965469848469
lam.est.sp[26],0.005282995883437315,0.004837878600579356,8.237331812962908e-4,0.004592039270943928,0.007367661847281668
lam.est.sp[27],0.005262057843967247,0.0048513990350342925,9.486334905402965e-4,0.004508587665868617,0.007611686705622041
lam.est.sp[28],0.005172828352688951,0.004736419347400941,9.444286382320162e-4,0.004281662104707306,0.007353332539712196
lam.est.sp[29],0.005508802542314504,0.00509436806535351,0.001002424105338148,0.0045938798785818006,0.008218138539330776
